geo_id,annee,mm_15p,mm_25_49,mm_15_34,mm_50p,mm_cspp,mm_femmes,part_25_49,part_15_34,part_50p,part_cspp
75056,2022,442889,128415,90362,133505,94584,222971,29.0,20.4,30.1,21.4
75056,2021,56558,16543,13783,18120,14036,29289,29.2,24.4,32.0,24.8
69123,2022,236157,65088,50448,75281,58473,121205,27.6,21.4,31.9,24.8
69123,2021,143286,39897,31304,49756,30046,72523,27.8,21.8,34.7,21.0
13055,2022,441584,116789,109216,140503,87029,225398,26.4,24.7,31.8,19.7
13055,2021,284332,71496,59109,99038,55821,143584,25.1,20.8,34.8,19.6
06088,2022,282896,84711,63265,85900,59979,147056,29.9,22.4,30.4,21.2
06088,2021,122711,31207,26277,37602,24139,61415,25.4,21.4,30.6,19.7
44109,2022,381856,110106,89008,125242,92174,195457,28.8,23.3,32.8,24.1
44109,2021,252531,75285,57230,82368,58730,127260,29.8,22.7,32.6,23.3
33063,2022,174872,51765,43406,60761,34779,89401,29.6,24.8,34.7,19.9
33063,2021,169144,46001,37081,58896,38196,86270,27.2,21.9,34.8,22.6
35238,2022,316768,83325,76597,107307,78238,164381,26.3,24.2,33.9,24.7
35238,2021,197184,56140,42180,62599,38548,99826,28.5,21.4,31.7,19.5
67482,2022,296805,85767,71857,96990,56648,153787,28.9,24.2,32.7,19.1
67482,2021,279729,79405,69504,85261,68060,143409,28.4,24.8,30.5,24.3
59350,2022,191625,48561,46089,65429,38008,96191,25.3,24.1,34.1,19.8
59350,2021,291796,76505,69288,89885,73256,146108,26.2,23.7,30.8,25.1
34172,2022,290176,85672,71592,91663,71178,150286,29.5,24.7,31.6,24.5
34172,2021,89682,25728,18015,30830,20032,46564,28.7,20.1,34.4,22.3
31555,2022,134709,34786,30725,47029,33734,67742,25.8,22.8,34.9,25.0
31555,2021,286954,72282,62416,87314,64926,144664,25.2,21.8,30.4,22.6
92026,2022,317796,85062,64070,108964,61538,160175,26.8,20.2,34.3,19.4
92026,2021,229204,61682,50343,68920,51507,118235,26.9,22.0,30.1,22.5
94028,2022,216307,60321,47283,73653,49036,109404,27.9,21.9,34.1,22.7
94028,2021,407326,101873,85265,126646,96070,210341,25.0,20.9,31.1,23.6
92050,2022,183277,53515,44596,61439,36235,92401,29.2,24.3,33.5,19.8
92050,2021,348859,89649,77545,104740,82074,178078,25.7,22.2,30.0,23.5
93066,2022,72660,21205,15288,22779,16190,36656,29.2,21.0,31.4,22.3
93066,2021,76970,19799,15450,24476,14565,39867,25.7,20.1,31.8,18.9
76351,2022,314231,82802,65950,95112,77966,161006,26.4,21.0,30.3,24.8
76351,2021,202214,57859,45358,61375,51789,103369,28.6,22.4,30.4,25.6
59491,2022,279993,76321,65853,85263,50971,145249,27.3,23.5,30.5,18.2
59491,2021,471495,120840,96769,150509,117434,236328,25.6,20.5,31.9,24.9
29019,2022,390138,100229,95074,133608,89520,200962,25.7,24.4,34.2,22.9
29019,2021,297913,81856,61857,89647,55814,153859,27.5,20.8,30.1,18.7
80021,2022,458247,120667,113334,158592,89091,236214,26.3,24.7,34.6,19.4
80021,2021,93346,24196,20148,31219,23839,48027,25.9,21.6,33.4,25.5
86194,2022,431331,121621,106556,130049,93816,221647,28.2,24.7,30.2,21.8
86194,2021,159648,41314,36770,50127,36595,82801,25.9,23.0,31.4,22.9
17300,2022,300735,86736,62024,100369,75608,151924,28.8,20.6,33.4,25.1
17300,2021,226223,57717,53930,75672,46163,113991,25.5,23.8,33.5,20.4
83069,2022,449012,112544,96439,145460,113056,231573,25.1,21.5,32.4,25.2
83069,2021,295384,80869,68080,95803,55155,148572,27.4,23.0,32.4,18.7
93029,2022,487583,121929,110437,165010,113260,251045,25.0,22.6,33.8,23.2
93029,2021,135851,36546,29700,47070,26571,69572,26.9,21.9,34.6,19.6
92012,2022,321988,89403,73548,96694,63053,166675,27.8,22.8,30.0,19.6
92012,2021,359639,106690,81111,123071,90389,182904,29.7,22.6,34.2,25.1
92004,2022,493547,131177,111632,167503,94950,256190,26.6,22.6,33.9,19.2
92004,2021,303259,80017,63841,99664,65709,153554,26.4,21.1,32.9,21.7
92007,2022,64799,17039,15340,21675,12273,33104,26.3,23.7,33.4,18.9
92007,2021,384808,110379,86013,116011,77419,196374,28.7,22.4,30.1,20.1
92036,2022,146454,42559,32037,48480,33228,73915,29.1,21.9,33.1,22.7
92036,2021,239611,66655,55253,82139,51228,124414,27.8,23.1,34.3,21.4
92049,2022,135462,37495,29697,43289,25462,70046,27.7,21.9,32.0,18.8
92049,2021,459730,123427,106586,153461,92284,235113,26.8,23.2,33.4,20.1
92040,2022,481388,122035,100939,159641,99287,243511,25.4,21.0,33.2,20.6
92040,2021,291375,76142,70614,98263,60417,146084,26.1,24.2,33.7,20.7
92044,2022,94440,26899,21667,30351,24493,47916,28.5,22.9,32.1,25.9
92044,2021,53349,14030,11293,18378,10420,27217,26.3,21.2,34.4,19.5
92002,2022,497752,142189,116620,152368,125310,252156,28.6,23.4,30.6,25.2
92002,2021,79054,21730,17714,26167,18088,40283,27.5,22.4,33.1,22.9
92022,2022,485926,137194,105187,157410,124053,250879,28.2,21.6,32.4,25.5
92022,2021,365563,105674,85208,110035,81963,186197,28.9,23.3,30.1,22.4
92046,2022,88943,23999,18420,28642,21958,45964,27.0,20.7,32.2,24.7
92046,2021,279876,81546,57204,86446,68499,144865,29.1,20.4,30.9,24.5
92075,2022,447370,131619,93722,136844,95152,232012,29.4,20.9,30.6,21.3
92075,2021,325220,85234,73514,111529,84345,164845,26.2,22.6,34.3,25.9
92073,2022,243607,70237,49740,75957,58653,126508,28.8,20.4,31.2,24.1
92073,2021,170015,46911,37078,52277,41408,86098,27.6,21.8,30.7,24.4
93048,2022,455590,116839,94976,148004,104585,231207,25.6,20.8,32.5,23.0
93048,2021,446512,114953,96793,136124,104206,225159,25.7,21.7,30.5,23.3
93071,2022,255574,76097,60245,76868,49418,129531,29.8,23.6,30.1,19.3
93071,2021,399321,107270,96082,136717,89360,206461,26.9,24.1,34.2,22.4
93064,2022,337295,99513,73279,105029,85302,174161,29.5,21.7,31.1,25.3
