geo_id,annee,mm_15p,mm_25_49,mm_15_34,mm_50p,mm_cspp,mm_femmes,part_25_49,part_15_34,part_50p,part_cspp
11,2022,10000000,2700000,2400000,3500000,3400000,5200000,27.0,24.0,35.0,34.0
24,2022,2200000,560000,520000,900000,480000,1120000,25.5,23.6,40.9,21.8
27,2022,2400000,620000,550000,1000000,600000,1220000,25.8,22.9,41.6,25.0
28,2022,2800000,730000,640000,1100000,650000,1430000,26.0,22.8,39.2,23.2
32,2022,5100000,1350000,1200000,2000000,1250000,2600000,26.5,23.5,39.2,24.5
44,2022,4800000,1250000,1100000,1900000,1100000,2450000,26.0,22.9,39.6,22.9
52,2022,3200000,820000,700000,1300000,700000,1620000,25.6,21.9,40.6,21.9
53,2022,2800000,750000,660000,1100000,800000,1450000,26.8,23.6,39.3,28.6
75,2022,5200000,1400000,1200000,1900000,1400000,2700000,26.9,23.0,36.5,26.9
76,2022,5000000,1300000,1150000,1950000,1250000,2550000,26.0,23.0,39.0,25.0
84,2022,6500000,1750000,1500000,2500000,1700000,3300000,26.9,23.1,38.5,26.1
93,2022,4200000,1100000,950000,1700000,1000000,2150000,26.2,22.6,40.5,23.8
94,2022,300000,80000,70000,130000,70000,155000,26.7,23.3,43.3,23.3
11,2021,9900000,2650000,2350000,3400000,3300000,5150000,26.8,23.7,34.3,33.3
24,2021,2180000,550000,510000,890000,470000,1110000,25.2,23.4,40.8,21.5
27,2021,2380000,610000,540000,990000,590000,1210000,25.6,22.7,41.6,24.8
28,2021,2780000,720000,630000,1080000,640000,1420000,25.9,22.7,38.8,23.0
32,2021,5050000,1320000,1180000,1980000,1230000,2580000,26.1,23.3,39.2,24.3
44,2021,4750000,1220000,1080000,1880000,1080000,2430000,25.7,22.7,39.6,22.7
52,2021,3180000,810000,690000,1280000,690000,1610000,25.5,21.7,40.3,21.7
53,2021,2780000,740000,650000,1090000,790000,1440000,26.6,23.4,39.2,28.4
75,2021,5150000,1380000,1180000,1880000,1380000,2680000,26.8,22.9,36.5,26.8
76,2021,4950000,1280000,1130000,1930000,1230000,2530000,25.9,22.8,39.0,24.8
84,2021,6400000,1700000,1470000,2470000,1650000,3250000,26.6,22.9,38.6,25.8
93,2021,4150000,1080000,930000,1680000,980000,2120000,26.0,22.4,40.5,23.6
94,2021,295000,78000,68000,128000,68000,150000,26.4,23.0,43.4,23.0
